22:51:42 [INFO] Opening target process: csgo.exe
18:59:18 [INFO] Found netvar: m_fFlags => 0x104
18:59:18 [INFO] Found netvar: m_hViewModel => 0x3308
18:59:18 [INFO] Found netvar: m_flFallbackWear => 0x31E0
18:59:18 [INFO] Found netvar: m_flFlashDuration => 0x10470
18:59:18 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
18:59:18 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
18:59:18 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
18:59:18 [INFO] Found netvar: m_hMyWeapons => 0x2F08
18:59:18 [INFO] Found netvar: m_hObserverTarget => 0x339C
18:59:18 [INFO] Found netvar: m_hOwner => 0x29DC
18:59:18 [INFO] Found netvar: m_hOwnerEntity => 0x14C
18:59:18 [INFO] Found netvar: m_iAccountID => 0x2FD8
18:59:18 [INFO] Found netvar: m_iClip1 => 0x3274
18:59:18 [INFO] Found netvar: m_zoomLevel => 0x33E0
18:59:18 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
18:59:18 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
18:59:18 [INFO] Found netvar: m_iCrosshairId => 0x117DC
18:59:18 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
18:59:18 [INFO] Found netvar: m_iFOVStart => 0x31F8
18:59:18 [INFO] Found netvar: m_iGlowIndex => 0x10470
18:59:18 [INFO] Found netvar: m_iHealth => 0x100
18:59:18 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
18:59:18 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
18:59:18 [INFO] Found netvar: m_iObserverMode => 0x3388
18:59:18 [INFO] Found netvar: m_iShotsFired => 0x103E0
18:59:18 [INFO] Found netvar: m_iState => 0x3268
18:59:18 [INFO] Found netvar: m_iTeamNum => 0xF4
18:59:18 [INFO] Found netvar: m_lifeState => 0x25F
18:59:18 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
18:59:18 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
18:59:18 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
18:59:18 [INFO] Found netvar: m_iDefaultFOV => 0x333C
18:59:18 [INFO] Found netvar: m_iFOV => 0x31F4
18:59:18 [INFO] Found netvar: m_nForceBone => 0x268C
18:59:18 [INFO] Found netvar: m_nTickBase => 0x3440
18:59:18 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
18:59:18 [INFO] Found netvar: m_szCustomName => 0x304C
18:59:18 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
18:59:18 [INFO] Found netvar: m_vecOrigin => 0x138
18:59:18 [INFO] Found netvar: m_vecVelocity => 0x114
18:59:18 [INFO] Found netvar: m_vecViewOffset => 0x108
18:59:18 [INFO] Found netvar: m_viewPunchAngle => 0x3030
18:59:18 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
18:59:18 [INFO] Found netvar: m_clrRender => 0x70
18:59:18 [INFO] Found netvar: m_bBombTicking => 0x2990
18:59:18 [INFO] Found netvar: m_bBombDefused => 0x29C0
18:59:18 [INFO] Found netvar: m_flC4Blow => 0x29A0
18:59:18 [INFO] Found netvar: m_hBombDefuser => 0x29C4
18:59:18 [INFO] Found netvar: m_flTimerLength => 0x29A4
18:59:18 [INFO] Found netvar: m_flDefuseLength => 0x29B8
18:59:18 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
18:59:18 [INFO] Found netvar: m_nBombSite => 0x2994
18:59:18 [INFO] Found netvar: cs_gamerules_data => 0x0
18:59:18 [INFO] Found netvar: m_SurvivalRules => 0xD00
18:59:18 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
18:59:18 [INFO] Found netvar: m_bIsValveDS => 0x7C
18:59:18 [INFO] Found netvar: m_bFreezePeriod => 0x20
18:59:18 [INFO] Found netvar: m_bBombPlanted => 0x9A5
18:59:18 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
18:59:18 [INFO] Found netvar: m_flSimulationTime => 0x268
18:59:18 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
18:59:18 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
18:59:18 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
18:59:18 [INFO] Found netvar: m_flNextAttack => 0x2D80
18:59:18 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
18:59:18 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
18:59:18 [INFO] Found netvar: m_bStartedArming => 0x3400
18:59:18 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
18:59:18 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
18:59:18 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
18:59:18 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
18:59:18 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
18:59:18 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
18:59:18 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
18:59:18 [INFO] Finished netvar scanning: 93/93 items successful
00:30:17 [INFO] Opening target process: csgo.exe
00:30:17 [INFO] Starting signature scanning: 57 items
00:30:17 [INFO] Found signature: dwClientState => 0x58CFC4
00:30:17 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
00:30:17 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
00:30:17 [INFO] Found signature: dwClientState_Map => 0x28C
00:30:17 [INFO] Found signature: dwClientState_MapDirectory => 0x188
00:30:17 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
00:30:17 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
00:30:17 [INFO] Found signature: dwClientState_State => 0x108
00:30:17 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
00:30:17 [INFO] Found signature: clientstate_delta_ticks => 0x174
00:30:17 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
00:30:17 [INFO] Found signature: clientstate_choked_commands => 0x4D30
00:30:17 [INFO] Found signature: clientstate_net_channel => 0x9C
00:30:17 [INFO] Found signature: dwEntityList => 0x4DCEEAC
00:30:17 [INFO] Found signature: dwForceAttack => 0x31FF3C0
00:30:17 [INFO] Found signature: dwForceAttack2 => 0x31FF3E4
00:30:17 [INFO] Found signature: dwForceBackward => 0x31FF36C
00:30:17 [INFO] Found signature: dwForceForward => 0x31FF3F0
00:30:17 [INFO] Found signature: dwForceJump => 0x5278DDC
00:30:17 [INFO] Found signature: dwForceLeft => 0x31FF378
00:30:17 [INFO] Found signature: dwForceRight => 0x31FF384
00:30:17 [INFO] Found signature: dwGameDir => 0x62B880
00:30:17 [INFO] Found signature: dwGameRulesProxy => 0x52EBE3C
00:30:17 [INFO] Found signature: dwGetAllClasses => 0xDDD1D4
00:30:17 [INFO] Found signature: dwGlobalVars => 0x58CCC8
00:30:17 [INFO] Found signature: dwGlowObjectManager => 0x5317308
00:30:17 [INFO] Found signature: dwInput => 0x5220480
00:30:17 [INFO] Found signature: dwInterfaceLinkList => 0x965464
00:30:17 [INFO] Found signature: dwLocalPlayer => 0xDB35DC
00:30:17 [INFO] Found signature: dwMouseEnable => 0xDB92E8
00:30:17 [INFO] Found signature: dwMouseEnablePtr => 0xDB92B8
00:30:17 [INFO] Found signature: dwPlayerResource => 0x31FD710
00:30:17 [INFO] Found signature: dwRadarBase => 0x5203C24
00:30:17 [INFO] Found signature: dwSensitivity => 0xDB9184
00:30:17 [INFO] Found signature: dwSensitivityPtr => 0xDB9158
00:30:17 [INFO] Found signature: dwSetClanTag => 0x8A320
00:30:17 [INFO] Found signature: dwViewMatrix => 0x4DC07C4
00:30:17 [INFO] Found signature: dwWeaponTable => 0x5220F48
00:30:17 [INFO] Found signature: dwWeaponTableIndex => 0x326C
00:30:17 [INFO] Found signature: dwYawPtr => 0xDB8F48
00:30:17 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDBF1B0
00:30:17 [INFO] Found signature: dwbSendPackets => 0xD9572
00:30:17 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
00:30:17 [INFO] Found signature: m_pStudioHdr => 0x2950
00:30:17 [INFO] Found signature: m_yawClassPtr => 0xDB8F48
00:30:17 [INFO] Found signature: m_pitchClassPtr => 0x5203EC0
00:30:17 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
00:30:17 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
00:30:17 [INFO] Found signature: m_bDormant => 0xED
00:30:17 [INFO] Found signature: model_ambient_min => 0x59003C
00:30:17 [INFO] Found signature: set_abs_angles => 0x1E5430
00:30:17 [INFO] Found signature: set_abs_origin => 0x1E5270
00:30:17 [INFO] Found signature: is_c4_owner => 0x3C8890
00:30:17 [INFO] Found signature: force_update_spectator_glow => 0x3BB80A
00:30:17 [INFO] Found signature: anim_overlays => 0x2990
00:30:17 [INFO] Found signature: m_flSpawnTime => 0x103C0
00:30:17 [INFO] Found signature: find_hud_element => 0x346C50F0
00:30:17 [INFO] Finished signature scanning: 57/57 items successful
00:30:17 [INFO] Starting netvar scanning: 93 items
00:30:17 [INFO] Found netvar: m_ArmorValue => 0x117CC
00:30:17 [INFO] Found netvar: m_Collision => 0x320
00:30:17 [INFO] Found netvar: m_CollisionGroup => 0x474
00:30:17 [INFO] Found netvar: m_Local => 0x2FCC
00:30:17 [INFO] Found netvar: m_MoveType => 0x25B
00:30:17 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
00:30:17 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
00:30:17 [INFO] Found netvar: m_aimPunchAngle => 0x303C
00:30:17 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
00:30:17 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
00:30:17 [INFO] Found netvar: m_bHasDefuser => 0x117DC
00:30:17 [INFO] Found netvar: m_bHasHelmet => 0x117C0
00:30:17 [INFO] Found netvar: m_bInReload => 0x3248
00:30:17 [INFO] Found netvar: m_bIsDefusing => 0x997C
00:30:17 [INFO] Found netvar: m_bIsScoped => 0x9974
00:30:17 [INFO] Found netvar: m_bSpotted => 0x93D
00:30:17 [INFO] Found netvar: m_bSpottedByMask => 0x980
00:30:17 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
00:30:17 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
00:30:17 [INFO] Found netvar: m_fFlags => 0x104
00:30:17 [INFO] Found netvar: m_hViewModel => 0x3308
00:30:17 [INFO] Found netvar: m_flFallbackWear => 0x31E0
00:30:17 [INFO] Found netvar: m_flFlashDuration => 0x10470
00:30:17 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
00:30:17 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
00:30:17 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
00:30:17 [INFO] Found netvar: m_hMyWeapons => 0x2F08
00:30:17 [INFO] Found netvar: m_hObserverTarget => 0x339C
00:30:17 [INFO] Found netvar: m_hOwner => 0x29DC
00:30:17 [INFO] Found netvar: m_hOwnerEntity => 0x14C
00:30:17 [INFO] Found netvar: m_iAccountID => 0x2FD8
00:30:17 [INFO] Found netvar: m_iClip1 => 0x3274
00:30:17 [INFO] Found netvar: m_zoomLevel => 0x33E0
00:30:17 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
00:30:17 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
00:30:17 [INFO] Found netvar: m_iCrosshairId => 0x117DC
00:30:18 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
00:30:18 [INFO] Found netvar: m_iFOVStart => 0x31F8
00:30:18 [INFO] Found netvar: m_iGlowIndex => 0x10470
00:30:18 [INFO] Found netvar: m_iHealth => 0x100
00:30:18 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
00:30:18 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
00:30:18 [INFO] Found netvar: m_iObserverMode => 0x3388
00:30:18 [INFO] Found netvar: m_iShotsFired => 0x103E0
00:30:18 [INFO] Found netvar: m_iState => 0x3268
00:30:18 [INFO] Found netvar: m_iTeamNum => 0xF4
00:30:18 [INFO] Found netvar: m_lifeState => 0x25F
00:30:18 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
00:30:18 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
00:30:18 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
00:30:18 [INFO] Found netvar: m_iDefaultFOV => 0x333C
00:30:18 [INFO] Found netvar: m_iFOV => 0x31F4
00:30:18 [INFO] Found netvar: m_nForceBone => 0x268C
00:30:18 [INFO] Found netvar: m_nTickBase => 0x3440
00:30:18 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
00:30:18 [INFO] Found netvar: m_szCustomName => 0x304C
00:30:18 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
00:30:18 [INFO] Found netvar: m_vecOrigin => 0x138
00:30:18 [INFO] Found netvar: m_vecVelocity => 0x114
00:30:18 [INFO] Found netvar: m_vecViewOffset => 0x108
00:30:18 [INFO] Found netvar: m_viewPunchAngle => 0x3030
00:30:18 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
00:30:18 [INFO] Found netvar: m_clrRender => 0x70
00:30:18 [INFO] Found netvar: m_bBombTicking => 0x2990
00:30:18 [INFO] Found netvar: m_bBombDefused => 0x29C0
00:30:18 [INFO] Found netvar: m_flC4Blow => 0x29A0
00:30:18 [INFO] Found netvar: m_hBombDefuser => 0x29C4
00:30:18 [INFO] Found netvar: m_flTimerLength => 0x29A4
00:30:18 [INFO] Found netvar: m_flDefuseLength => 0x29B8
00:30:18 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
00:30:18 [INFO] Found netvar: m_nBombSite => 0x2994
00:30:18 [INFO] Found netvar: cs_gamerules_data => 0x0
00:30:18 [INFO] Found netvar: m_SurvivalRules => 0xD00
00:30:18 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
00:30:18 [INFO] Found netvar: m_bIsValveDS => 0x7C
00:30:18 [INFO] Found netvar: m_bFreezePeriod => 0x20
00:30:18 [INFO] Found netvar: m_bBombPlanted => 0x9A5
00:30:18 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
00:30:18 [INFO] Found netvar: m_flSimulationTime => 0x268
00:30:18 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
00:30:18 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
00:30:18 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
00:30:18 [INFO] Found netvar: m_flNextAttack => 0x2D80
00:30:18 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
00:30:18 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
00:30:18 [INFO] Found netvar: m_bStartedArming => 0x3400
00:30:18 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
00:30:18 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
00:30:18 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
00:30:18 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
00:30:18 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
00:30:18 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
00:30:18 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
00:30:18 [INFO] Finished netvar scanning: 93/93 items successful
00:35:26 [INFO] Opening target process: csgo.exe
00:35:26 [INFO] Starting signature scanning: 57 items
00:35:26 [INFO] Found signature: dwClientState => 0x58CFC4
00:35:26 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
00:35:26 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
00:35:26 [INFO] Found signature: dwClientState_Map => 0x28C
00:35:26 [INFO] Found signature: dwClientState_MapDirectory => 0x188
00:35:26 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
00:35:26 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
00:35:26 [INFO] Found signature: dwClientState_State => 0x108
00:35:26 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
00:35:26 [INFO] Found signature: clientstate_delta_ticks => 0x174
00:35:26 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
00:35:26 [INFO] Found signature: clientstate_choked_commands => 0x4D30
00:35:26 [INFO] Found signature: clientstate_net_channel => 0x9C
00:35:26 [INFO] Found signature: dwEntityList => 0x4DCEEAC
00:35:26 [INFO] Found signature: dwForceAttack => 0x31FF3C0
00:35:26 [INFO] Found signature: dwForceAttack2 => 0x31FF3E4
00:35:26 [INFO] Found signature: dwForceBackward => 0x31FF36C
00:35:26 [INFO] Found signature: dwForceForward => 0x31FF3F0
00:35:26 [INFO] Found signature: dwForceJump => 0x5278DDC
00:35:26 [INFO] Found signature: dwForceLeft => 0x31FF378
00:35:26 [INFO] Found signature: dwForceRight => 0x31FF384
00:35:26 [INFO] Found signature: dwGameDir => 0x62B880
00:35:26 [INFO] Found signature: dwGameRulesProxy => 0x52EBE3C
00:35:26 [INFO] Found signature: dwGetAllClasses => 0xDDD1D4
00:35:26 [INFO] Found signature: dwGlobalVars => 0x58CCC8
00:35:26 [INFO] Found signature: dwGlowObjectManager => 0x5317308
00:35:26 [INFO] Found signature: dwInput => 0x5220480
00:35:26 [INFO] Found signature: dwInterfaceLinkList => 0x965464
00:35:26 [INFO] Found signature: dwLocalPlayer => 0xDB35DC
00:35:26 [INFO] Found signature: dwMouseEnable => 0xDB92E8
00:35:26 [INFO] Found signature: dwMouseEnablePtr => 0xDB92B8
00:35:26 [INFO] Found signature: dwPlayerResource => 0x31FD710
00:35:26 [INFO] Found signature: dwRadarBase => 0x5203C24
00:35:26 [INFO] Found signature: dwSensitivity => 0xDB9184
00:35:26 [INFO] Found signature: dwSensitivityPtr => 0xDB9158
00:35:26 [INFO] Found signature: dwSetClanTag => 0x8A320
00:35:26 [INFO] Found signature: dwViewMatrix => 0x4DC07C4
00:35:26 [INFO] Found signature: dwWeaponTable => 0x5220F48
00:35:26 [INFO] Found signature: dwWeaponTableIndex => 0x326C
00:35:26 [INFO] Found signature: dwYawPtr => 0xDB8F48
00:35:26 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDBF1B0
00:35:26 [INFO] Found signature: dwbSendPackets => 0xD9572
00:35:26 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
00:35:26 [INFO] Found signature: m_pStudioHdr => 0x2950
00:35:26 [INFO] Found signature: m_yawClassPtr => 0xDB8F48
00:35:26 [INFO] Found signature: m_pitchClassPtr => 0x5203EC0
00:35:26 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
00:35:26 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
00:35:26 [INFO] Found signature: m_bDormant => 0xED
00:35:26 [INFO] Found signature: model_ambient_min => 0x59003C
00:35:26 [INFO] Found signature: set_abs_angles => 0x1E5430
00:35:26 [INFO] Found signature: set_abs_origin => 0x1E5270
00:35:26 [INFO] Found signature: is_c4_owner => 0x3C8890
00:35:26 [INFO] Found signature: force_update_spectator_glow => 0x3BB80A
00:35:26 [INFO] Found signature: anim_overlays => 0x2990
00:35:26 [INFO] Found signature: m_flSpawnTime => 0x103C0
00:35:26 [INFO] Found signature: find_hud_element => 0x346C50F0
00:35:26 [INFO] Finished signature scanning: 57/57 items successful
00:35:26 [INFO] Starting netvar scanning: 93 items
00:35:26 [INFO] Found netvar: m_ArmorValue => 0x117CC
00:35:26 [INFO] Found netvar: m_Collision => 0x320
00:35:26 [INFO] Found netvar: m_CollisionGroup => 0x474
00:35:26 [INFO] Found netvar: m_Local => 0x2FCC
00:35:26 [INFO] Found netvar: m_MoveType => 0x25B
00:35:26 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
00:35:26 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
00:35:26 [INFO] Found netvar: m_aimPunchAngle => 0x303C
00:35:26 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
00:35:26 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
00:35:26 [INFO] Found netvar: m_bHasDefuser => 0x117DC
00:35:26 [INFO] Found netvar: m_bHasHelmet => 0x117C0
00:35:26 [INFO] Found netvar: m_bInReload => 0x3248
00:35:26 [INFO] Found netvar: m_bIsDefusing => 0x997C
00:35:26 [INFO] Found netvar: m_bIsScoped => 0x9974
00:35:26 [INFO] Found netvar: m_bSpotted => 0x93D
00:35:26 [INFO] Found netvar: m_bSpottedByMask => 0x980
00:35:26 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
00:35:26 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
00:35:26 [INFO] Found netvar: m_fFlags => 0x104
00:35:26 [INFO] Found netvar: m_hViewModel => 0x3308
00:35:26 [INFO] Found netvar: m_flFallbackWear => 0x31E0
00:35:26 [INFO] Found netvar: m_flFlashDuration => 0x10470
00:35:26 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
00:35:26 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
00:35:26 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
00:35:26 [INFO] Found netvar: m_hMyWeapons => 0x2F08
00:35:26 [INFO] Found netvar: m_hObserverTarget => 0x339C
00:35:26 [INFO] Found netvar: m_hOwner => 0x29DC
00:35:26 [INFO] Found netvar: m_hOwnerEntity => 0x14C
00:35:26 [INFO] Found netvar: m_iAccountID => 0x2FD8
00:35:26 [INFO] Found netvar: m_iClip1 => 0x3274
00:35:26 [INFO] Found netvar: m_zoomLevel => 0x33E0
00:35:26 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
00:35:26 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
00:35:26 [INFO] Found netvar: m_iCrosshairId => 0x117DC
00:35:26 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
00:35:26 [INFO] Found netvar: m_iFOVStart => 0x31F8
00:35:26 [INFO] Found netvar: m_iGlowIndex => 0x10470
00:35:26 [INFO] Found netvar: m_iHealth => 0x100
00:35:26 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
00:35:26 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
00:35:26 [INFO] Found netvar: m_iObserverMode => 0x3388
00:35:26 [INFO] Found netvar: m_iShotsFired => 0x103E0
00:35:26 [INFO] Found netvar: m_iState => 0x3268
00:35:26 [INFO] Found netvar: m_iTeamNum => 0xF4
00:35:26 [INFO] Found netvar: m_lifeState => 0x25F
00:35:26 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
00:35:26 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
00:35:26 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
00:35:26 [INFO] Found netvar: m_iDefaultFOV => 0x333C
00:35:26 [INFO] Found netvar: m_iFOV => 0x31F4
00:35:26 [INFO] Found netvar: m_nForceBone => 0x268C
00:35:26 [INFO] Found netvar: m_nTickBase => 0x3440
00:35:26 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
00:35:26 [INFO] Found netvar: m_szCustomName => 0x304C
00:35:26 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
00:35:26 [INFO] Found netvar: m_vecOrigin => 0x138
00:35:26 [INFO] Found netvar: m_vecVelocity => 0x114
00:35:26 [INFO] Found netvar: m_vecViewOffset => 0x108
00:35:26 [INFO] Found netvar: m_viewPunchAngle => 0x3030
00:35:26 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
00:35:26 [INFO] Found netvar: m_clrRender => 0x70
00:35:26 [INFO] Found netvar: m_bBombTicking => 0x2990
00:35:26 [INFO] Found netvar: m_bBombDefused => 0x29C0
00:35:26 [INFO] Found netvar: m_flC4Blow => 0x29A0
00:35:26 [INFO] Found netvar: m_hBombDefuser => 0x29C4
00:35:26 [INFO] Found netvar: m_flTimerLength => 0x29A4
00:35:26 [INFO] Found netvar: m_flDefuseLength => 0x29B8
00:35:26 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
00:35:26 [INFO] Found netvar: m_nBombSite => 0x2994
00:35:26 [INFO] Found netvar: cs_gamerules_data => 0x0
00:35:26 [INFO] Found netvar: m_SurvivalRules => 0xD00
00:35:26 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
00:35:26 [INFO] Found netvar: m_bIsValveDS => 0x7C
00:35:26 [INFO] Found netvar: m_bFreezePeriod => 0x20
00:35:26 [INFO] Found netvar: m_bBombPlanted => 0x9A5
00:35:26 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
00:35:26 [INFO] Found netvar: m_flSimulationTime => 0x268
00:35:26 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
00:35:26 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
00:35:26 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
00:35:26 [INFO] Found netvar: m_flNextAttack => 0x2D80
00:35:26 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
00:35:26 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
00:35:26 [INFO] Found netvar: m_bStartedArming => 0x3400
00:35:26 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
00:35:26 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
00:35:26 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
00:35:26 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
00:35:26 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
00:35:26 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
00:35:26 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
00:35:26 [INFO] Finished netvar scanning: 93/93 items successful
19:31:56 [INFO] Opening target process: csgo.exe
19:31:56 [INFO] Starting signature scanning: 57 items
19:31:56 [INFO] Found signature: dwClientState => 0x58CFC4
19:31:56 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
19:31:56 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
19:31:56 [INFO] Found signature: dwClientState_Map => 0x28C
19:31:56 [INFO] Found signature: dwClientState_MapDirectory => 0x188
19:31:56 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
19:31:56 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
19:31:56 [INFO] Found signature: dwClientState_State => 0x108
19:31:56 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
19:31:56 [INFO] Found signature: clientstate_delta_ticks => 0x174
19:31:56 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
19:31:56 [INFO] Found signature: clientstate_choked_commands => 0x4D30
19:31:56 [INFO] Found signature: clientstate_net_channel => 0x9C
19:31:56 [INFO] Found signature: dwEntityList => 0x4DD243C
19:31:56 [INFO] Found signature: dwForceAttack => 0x3202950
19:31:56 [INFO] Found signature: dwForceAttack2 => 0x3202974
19:31:56 [INFO] Found signature: dwForceBackward => 0x32028FC
19:31:56 [INFO] Found signature: dwForceForward => 0x3202980
19:31:56 [INFO] Found signature: dwForceJump => 0x527C36C
19:31:56 [INFO] Found signature: dwForceLeft => 0x3202908
19:31:56 [INFO] Found signature: dwForceRight => 0x3202914
19:31:56 [INFO] Found signature: dwGameDir => 0x62B880
19:31:56 [INFO] Found signature: dwGameRulesProxy => 0x52EFB9C
19:31:56 [INFO] Found signature: dwGetAllClasses => 0xDE0764
19:31:56 [INFO] Found signature: dwGlobalVars => 0x58CCC8
19:31:56 [INFO] Found signature: dwGlowObjectManager => 0x531B018
19:31:56 [INFO] Found signature: dwInput => 0x5223A10
